Kapitel 2,,"Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste 
in Beherbergungsbetrieben (einschl. Camping)",
Tabelle 2.4,,nach Kreisen und nach dem ständigen Wohnsitz der Gäste,
"Lfd.
Nr.","Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt

Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Januar 2014,
,,Ankünfte,Übernachtungen
,,"ins-
gesamt","ins-
gesamt"
,,,
,,,
,,,
,,,
,,,
,,Anzahl,Anzahl
Kapitel 2,,"Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste 
in Beherbergungsbetrieben (einschließlich Camping)",
Tabelle 2.4,,nach Kreisen und nach dem ständigen Wohnsitz der Gäste,
"Lfd.
Nr.","Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt

Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",November 2014,
,,Ankünfte,Übernachtungen
,,"ins-
gesamt","ins-
gesamt"
,,,
,,,
,,,
,,,
,,,
,,Anzahl,Anzahl
1,2,3,5
,,,
1,Mecklenburg-Vorpommern,354888,1175961
2,  Deutschland,338724,1138236
3,  Ausland,16164,37725
,,,
4,"  Rostock, Hansestadt",48472,107988
5,    Deutschland,43864,96683
6,    Ausland,4608,11305
,,,
7,"  Schwerin, Landeshauptstadt",13882,21618
8,    Deutschland,12219,19078
9,    Ausland,1663,2540
,,,
,  Mecklenburgische,,
10,    Seenplatte,41657,123623
11,    Deutschland,40212,121000
12,    Ausland,1445,2623
,,,
13,  Landkreis Rostock,61917,238082
14,    Deutschland,60163,233558
15,    Ausland,1754,4524
,,,
16,  Vorpommern-Rügen,81753,305684
17,    Deutschland,79071,298899
18,    Ausland,2682,6785
,,,
19,  Nordwestmecklenburg,26676,93787
20,    Deutschland,24908,88564
21,    Ausland,1768,5223
,,,
22,  Vorpommern-Greifswald,60001,226040
23,    Deutschland,59061,223804
24,    Ausland,940,2236
,,,
25,  Ludwigslust-Parchim,20530,59139
26,    Deutschland,19226,56650
27,    Ausland,1304,2489
,,,
,Nachrichtlich,,
,,,
28,"  Greifswald, Hansestadt 10)",4344,8070
29,    Deutschland,4058,7461
30,    Ausland,286,609
,,,
31,"  Neubrandenburg, Stadt 11)",5727,8633
32,    Deutschland,4853,7376
33,    Ausland,874,1257
,,,
34,"  Stralsund, Hansestadt 12)",11645,24741
35,    Deutschland,10724,22654
36,    Ausland,921,2087
,,,
37,"  Wismar, Hansestadt 13)",7453,19933
38,    Deutschland,6300,17560
39,    Ausland,1153,2373
Kapitel 2,,"Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste 
in Beherbergungsbetrieben (einschließlich Camping)",
Tabelle 2.4,,nach Kreisen und nach dem ständigen Wohnsitz der Gäste,
"Lfd.
Nr.","Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt

Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Dezember 2014,
,,Ankünfte,Übernachtungen
,,"ins-
gesamt","ins-
gesamt"
,,,
,,,
,,,
,,,
,,,
,,Anzahl,Anzahl
1,2,3,5
,,,
1,Mecklenburg-Vorpommern,342202,1128551
2,  Deutschland,323092,1084405
3,  Ausland,19110,44146
,,,
4,"  Rostock, Hansestadt",53636,119969
5,    Deutschland,46592,104177
6,    Ausland,7044,15792
,,,
7,"  Schwerin, Landeshauptstadt",13702,21979
8,    Deutschland,11453,18357
9,    Ausland,2249,3622
,,,
,  Mecklenburgische,,
10,    Seenplatte,37621,120563
11,    Deutschland,36569,118509
12,    Ausland,1052,2054
,,,
13,  Landkreis Rostock,53971,212697
14,    Deutschland,51953,207522
15,    Ausland,2018,5175
,,,
16,  Vorpommern-Rügen,81781,307085
17,    Deutschland,79299,300496
18,    Ausland,2482,6589
,,,
19,  Nordwestmecklenburg,26660,87788
20,    Deutschland,24682,83025
21,    Ausland,1978,4763
,,,
22,  Vorpommern-Greifswald,55079,203346
23,    Deutschland,54360,200541
24,    Ausland,719,2805
,,,
25,  Ludwigslust-Parchim,19752,55124
26,    Deutschland,18184,51778
27,    Ausland,1568,3346
,,,
,Nachrichtlich,,
,,,
28,"  Greifswald, Hansestadt 10)",3818,7551
29,    Deutschland,3644,7202
30,    Ausland,174,349
,,,
31,"  Neubrandenburg, Stadt 11)",4671,8384
32,    Deutschland,4112,7488
33,    Ausland,559,896
,,,
34,"  Stralsund, Hansestadt 12)",11546,25924
35,    Deutschland,10326,22927
36,    Ausland,1220,2997
,,,
37,"  Wismar, Hansestadt 13)",7085,18180
38,    Deutschland,5843,15591
39,    Ausland,1242,2589
Kapitel 2,,"Ankünfte, Übernachtungen und Aufenthaltsdauer der Gäste 
in Beherbergungsbetrieben (einschl. Camping)",
Tabelle 2.4,,nach Kreisen und nach dem ständigen Wohnsitz der Gäste,
"Lfd.
Nr.","Kreisfreie Stadt
Landkreis
Große kreisangehörige Stadt

Ständiger Wohnsitz der
Gäste innerhalb/außerhalb
Deutschlands",Januar 2014,
,,Ankünfte,Übernachtungen
,,"ins-
gesamt","ins-
gesamt"
,,,
,,,
,,,
,,,
,,,
,,Anzahl,Anzahl
1,2,3,5
,,,
1,Mecklenburg-Vorpommern,244411,881722
2,   Deutschland,236793,862024
3,   Ausland,7618,19698
,,,
4,"   Rostock, Hansestadt",37790,84815
5,      Deutschland,35708,79211
6,      Ausland,2082,5604
,,,
7,"   Schwerin, Landeshauptstadt",8409,14411
8,      Deutschland,7808,13237
9,      Ausland,601,1174
,,,
,   Mecklenburgische,,
10,      Seenplatte,23731,84139
11,      Deutschland,23053,82796
12,      Ausland,678,1343
,,,
13,   Landkreis Rostock,42759,167976
14,      Deutschland,41753,165208
