id (int),jahr (FK),monat (FK),landkreis (FK),ankuenfte,uebernachtungen
688,10,3,04012,10677,20921
689,10,3,04012,919,2423
690,10,3,04012,11596,23344
691,10,2,04012,7920,15399
692,10,2,04012,342,766
693,10,2,04012,8262,16165
694,10,1,04012,8034,15311
695,10,1,04012,688,1058
696,10,1,04012,8722,16369
697,09,12,04012,7911,15346
698,09,12,04012,716,1284
699,09,12,04012,8627,16630
700,09,11,04012,10312,19079
701,09,11,04012,594,1346
702,09,11,04012,10906,20425
703,09,10,04012,12224,24173
704,09,10,04012,1669,3871
705,09,10,04012,13893,28044
706,09,9,04012,11757,25212
707,09,9,04012,1483,3252
708,09,9,04012,13240,28464
709,09,8,04012,12155,24678
710,09,8,04012,1521,4024
711,09,8,04012,13676,28702
712,09,7,04012,10666,22273
713,09,7,04012,1540,3955
714,09,7,04012,12206,26228
715,09,6,04012,11064,21558
716,09,6,04012,1220,2893
717,09,6,04012,12284,24451
718,09,5,04012,11399,23554
719,09,5,04012,1260,3688
720,09,5,04012,12659,27242
721,09,4,04012,8654,18455
722,09,4,04012,817,2901
723,09,4,04012,9471,21356
724,09,3,04012,8019,17936
725,09,3,04012,433,1019
726,09,3,04012,8452,18955
727,09,2,04012,6906,14796
728,09,2,04012,479,1048
729,09,2,04012,7385,15844
730,09,1,04012,6114,13059
731,09,1,04012,321,880
732,09,1,04012,6435,13939
733,08,12,04012,6861,13080
734,08,12,04012,810,2098
735,08,12,04012,7671,15178
736,08,11,04012,7599,16107
737,08,11,04012,795,2195
738,08,11,04012,8394,18302
739,08,10,04012,10617,21510
740,08,10,04012,1212,3244
741,08,10,04012,11829,24754
742,08,9,04012,11801,22577
743,08,9,04012,1583,4477
744,08,9,04012,13384,27054
745,08,8,04012,11940,24916
746,08,8,04012,2016,4861
747,08,8,04012,13956,29777
748,08,7,04012,12722,23182
749,08,7,04012,1997,4848
750,08,7,04012,14719,28030
751,08,6,04012,12271,20998
752,08,6,04012,1429,2874
753,08,6,04012,13700,23872
754,08,5,04012,12376,21578
755,08,5,04012,1710,4275
756,08,5,04012,14086,25853
757,08,4,04012,9835,17164
758,08,4,04012,1002,2426
759,08,4,04012,10837,19590
760,08,3,04012,10911,18902
761,08,3,04012,878,3416
762,08,3,04012,11789,22318
763,08,2,04012,6612,12187
764,08,2,04012,645,1569
765,08,2,04012,7257,13756
766,08,1,04012,5865,12265
767,08,1,04012,560,1148
768,08,1,04012,6425,13413
