469-30: Beherbergungsbetriebe, Gästebetten, -übernachtungen, -ankünfte nach Betriebsarten (Monatszahlen)
Gebietsschlüssel;Gebietseinheit;Zeit;Betriebsart;Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1)
;;;;geöffnete Beherbergungsbetriebe;angebotene Gästebetten 2);Gästeübernachtungen;Gästeübernachtungen;Gästeankünfte;Gästeankünfte
;;;;;;insgesamt;darunter aus dem Ausland;insgesamt;darunter aus dem Ausland
04011;Stadt Bremen;2015-02;Insgesamt;94;11467;130865;25450;71007;13108
04011;Stadt Bremen;2015-01;Hotels, Hotels garnis, Gasthöfe, Pensionen;88;10766;111513;25647;63832;12090
04011;Stadt Bremen;2015-01;Sonstige Einrichtungen 3);6;701;12709;997;2251;338
04011;Stadt Bremen;2015-01;Insgesamt;94;11467;124222;26644;66083;12428
04011;Stadt Bremen;2014-12;Hotels, Hotels garnis, Gasthöfe, Pensionen;89;9911;144775;35979;83815;17832
04011;Stadt Bremen;2014-12;Sonstige Einrichtungen 3);5;678;14697;1213;2728;466
04011;Stadt Bremen;2014-12;Insgesamt;94;10589;159472;37192;86543;18298
04011;Stadt Bremen;2014-11;Hotels, Hotels garnis, Gasthöfe, Pensionen;89;9911;160341;41548;86314;17508
04011;Stadt Bremen;2014-11;Sonstige Einrichtungen 3);5;678;15075;1313;2678;434
04011;Stadt Bremen;2014-11;Insgesamt;94;10589;175416;42861;88992;17942
04011;Stadt Bremen;2014-10;Hotels, Hotels garnis, Gasthöfe, Pensionen;89;9911;172140;38710;98423;18872
04011;Stadt Bremen;2014-10;Sonstige Einrichtungen 3);5;678;15978;1475;3554;560
04011;Stadt Bremen;2014-10;Insgesamt;94;10589;188118;40185;101977;19432
04011;Stadt Bremen;2014-09;Hotels, Hotels garnis, Gasthöfe, Pensionen;89;9911;154124;36293;88012;18418
04011;Stadt Bremen;2014-09;Sonstige Einrichtungen 3);5;678;15430;1433;3691;601
04011;Stadt Bremen;2014-09;Insgesamt;94;10589;169554;37726;91703;19019
04011;Stadt Bremen;2014-08;Hotels, Hotels garnis, Gasthöfe, Pensionen;89;9911;148902;37779;81635;18895
04011;Stadt Bremen;2014-08;Sonstige Einrichtungen 3);5;678;14768;4122;3390;2243
04011;Stadt Bremen;2014-08;Insgesamt;94;10589;163670;41901;85025;21138
04011;Stadt Bremen;2014-07;Hotels, Hotels garnis, Gasthöfe, Pensionen;89;9911;141677;39646;81709;21553
04011;Stadt Bremen;2014-07;Sonstige Einrichtungen 3);5;678;16805;4614;4082;2681
04011;Stadt Bremen;2014-07;Insgesamt;94;10589;158482;44260;85791;24234
04011;Stadt Bremen;2014-06;Hotels, Hotels garnis, Gasthöfe, Pensionen;89;9911;137744;34142;78633;17806
04011;Stadt Bremen;2014-06;Sonstige Einrichtungen 3);5;678;13791;1661;3243;791
04011;Stadt Bremen;2014-06;Insgesamt;94;10589;151535;35803;81876;18597
