469-30: Beherbergungsbetriebe, Gästebetten, -übernachtungen, -ankünfte nach Betriebsarten (Monatszahlen)
Gebietsschlüssel;Gebietseinheit;Zeit;Betriebsart;Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1);Tourismus (Monatszahlen) 1)
;;;;geöffnete Beherbergungsbetriebe;angebotene Gästebetten 2);Gästeübernachtungen;Gästeübernachtungen;Gästeankünfte;Gästeankünfte
;;;;;;insgesamt;darunter aus dem Ausland;insgesamt;darunter aus dem Ausland
04;Land Bremen;2012-12;Insgesamt;112;11795;145218;30663;81816;15197
04;Land Bremen;2012-11;Hotels, Hotels garnis, Gasthöfe, Pensionen;107;11211;152062;31276;87495;15730
04;Land Bremen;2012-11;Sonstige Einrichtungen 3);5;584;6890;1223;3271;490
04;Land Bremen;2012-11;Insgesamt;112;11795;158952;32499;90766;16220
04;Land Bremen;2012-10;Hotels, Hotels garnis, Gasthöfe, Pensionen;107;11211;171191;38308;93052;18488
04;Land Bremen;2012-10;Sonstige Einrichtungen 3);5;584;11777;1750;4880;711
04;Land Bremen;2012-10;Insgesamt;112;11795;182968;40058;97932;19199
04;Land Bremen;2012-09;Hotels, Hotels garnis, Gasthöfe, Pensionen;107;11211;169966;33174;93507;16667
04;Land Bremen;2012-09;Sonstige Einrichtungen 3);5;584;11239;1774;4544;853
04;Land Bremen;2012-09;Insgesamt;112;11795;181205;34948;98051;17520
04;Land Bremen;2012-08;Hotels, Hotels garnis, Gasthöfe, Pensionen;107;11211;148274;34325;80512;17044
04;Land Bremen;2012-08;Sonstige Einrichtungen 3);5;584;12121;3544;4899;1664
04;Land Bremen;2012-08;Insgesamt;112;11795;160395;37869;85411;18708
04;Land Bremen;2012-07;Hotels, Hotels garnis, Gasthöfe, Pensionen;107;11211;152204;39835;83714;19779
04;Land Bremen;2012-07;Sonstige Einrichtungen 3);5;584;12195;3935;5327;2196
04;Land Bremen;2012-07;Insgesamt;112;11795;164399;43770;89041;21975
04;Land Bremen;2012-06;Hotels, Hotels garnis, Gasthöfe, Pensionen;107;11211;154672;35869;86032;18447
04;Land Bremen;2012-06;Sonstige Einrichtungen 3);5;584;10393;2432;4633;1260
04;Land Bremen;2012-06;Insgesamt;112;11795;165065;38301;90665;19707
04;Land Bremen;2012-05;Hotels, Hotels garnis, Gasthöfe, Pensionen;107;11211;151765;30408;88314;15967
04;Land Bremen;2012-05;Sonstige Einrichtungen 3);5;584;10924;2385;4646;981
04;Land Bremen;2012-05;Insgesamt;112;11795;162689;32793;92960;16948
04;Land Bremen;2012-04;Hotels, Hotels garnis, Gasthöfe, Pensionen;107;11211;141933;29613;81148;15519
04;Land Bremen;2012-04;Sonstige Einrichtungen 3);5;584;10926;1739;4511;872
04;Land Bremen;2012-04;Insgesamt;112;11795;152859;31352;85659;16391
04;Land Bremen;2012-03;Hotels, Hotels garnis, Gasthöfe, Pensionen;107;11211;130490;28756;77328;15168
04;Land Bremen;2012-03;Sonstige Einrichtungen 3);5;584;9123;940;4061;515
04;Land Bremen;2012-03;Insgesamt;112;11795;139613;29696;81389;15683
04;Land Bremen;2012-02;Hotels, Hotels garnis, Gasthöfe, Pensionen;107;11211;125086;24703;75278;13564
04;Land Bremen;2012-02;Sonstige Einrichtungen 3);5;584;4683;730;2290;345
04;Land Bremen;2012-02;Insgesamt;112;11795;129769;25433;77568;13909
04;Land Bremen;2012-01;Hotels, Hotels garnis, Gasthöfe, Pensionen;107;11211;113795;23202;68589;12209
04;Land Bremen;2012-01;Sonstige Einrichtungen 3);5;584;3838;801;1907;397
04;Land Bremen;2012-01;Insgesamt;112;11795;117633;24003;70496;12606
04;Land Bremen;2011-12;Hotels, Hotels garnis, Gasthöfe, Pensionen;107;11117;140984;30777;84569;16740
04;Land Bremen;2011-12;Sonstige Einrichtungen 3);5;584;4740;1346;2382;584
04;Land Bremen;2011-12;Insgesamt;112;11701;145724;32123;86951;17324
04;Land Bremen;2011-11;Hotels, Hotels garnis, Gasthöfe, Pensionen;107;11117;150608;30861;90008;15628
04;Land Bremen;2011-11;Sonstige Einrichtungen 3);5;584;9221;1330;4311;630
04;Land Bremen;2011-11;Insgesamt;112;11701;159829;32191;94319;16258
04;Land Bremen;2011-10;Hotels, Hotels garnis, Gasthöfe, Pensionen;107;11117;171517;35954;97189;18334
04;Land Bremen;2011-10;Sonstige Einrichtungen 3);5;584;11531;1617;5551;726
04;Land Bremen;2011-10;Insgesamt;112;11701;183048;37571;102740;19060
04;Land Bremen;2011-09;Hotels, Hotels garnis, Gasthöfe, Pensionen;107;11117;168973;35772;95981;18377
04;Land Bremen;2011-09;Sonstige Einrichtungen 3);5;584;11360;1794;5130;962
04;Land Bremen;2011-09;Insgesamt;112;11701;180333;37566;101111;19339
04;Land Bremen;2011-08;Hotels, Hotels garnis, Gasthöfe, Pensionen;107;11117;160530;34933;89671;19091
04;Land Bremen;2011-08;Sonstige Einrichtungen 3);5;584;11131;3623;5221;1744
04;Land Bremen;2011-08;Insgesamt;112;11701;171661;38556;94892;20835
04;Land Bremen;2011-07;Hotels, Hotels garnis, Gasthöfe, Pensionen;107;11117;153118;35544;87700;19657
04;Land Bremen;2011-07;Sonstige Einrichtungen 3);5;584;12067;3379;5569;1758
04;Land Bremen;2011-07;Insgesamt;112;11701;165185;38923;93269;21415
04;Land Bremen;2011-06;Hotels, Hotels garnis, Gasthöfe, Pensionen;107;11117;155269;31958;87626;17693
04;Land Bremen;2011-06;Sonstige Einrichtungen 3);5;584;12601;3191;6007;1328
04;Land Bremen;2011-06;Insgesamt;112;11701;167870;35149;93633;19021
04;Land Bremen;2011-05;Hotels, Hotels garnis, Gasthöfe, Pensionen;107;11117;166385;35504;97268;18821
04;Land Bremen;2011-05;Sonstige Einrichtungen 3);5;584;11384;2806;4798;1121
04;Land Bremen;2011-05;Insgesamt;112;11701;177769;38310;102066;19942
04;Land Bremen;2011-04;Hotels, Hotels garnis, Gasthöfe, Pensionen;107;11117;143869;31455;82654;16646
