jahr (FK),monat (FK),landkreis (FK),ankuenfte,uebernachtungen
2015,8,03453,54919,15495
2016,8,03453,53942,16243
2017,8,03453,52627,17235
2018,8,03453,60222,18696
2009,8,03454,217344,57094
2010,8,03454,242903,61867
2011,8,03454,265115,62195
2012,8,03454,248103,60780
2013,8,03454,258980,70520
2014,8,03454,277913,74074
2015,8,03454,273064,70015
2016,8,03454,285555,76821
2017,8,03454,291274,77942
2018,8,03454,301644,83271
2009,8,03455,331845,50475
2010,8,03455,360719,53164
2011,8,03455,376365,55981
2012,8,03455,375976,64838
2013,8,03455,363444,64619
2014,8,03455,379617,62719
2015,8,03455,401443,62482
2016,8,03455,375527,58993
2017,8,03455,358754,52906
2018,8,03455,385711,58756
2009,8,03456,79323,24228
2010,8,03456,113007,30244
2011,8,03456,87865,22198
2012,8,03456,116186,29866
2013,8,03456,127440,30625
2014,8,03456,96174,23270
2015,8,03456,92039,23647
2016,8,03456,100237,24398
2017,8,03456,98014,26137
2018,8,03456,100343,25705
2009,8,03457,224243,34781
2010,8,03457,243767,36391
2011,8,03457,248252,36263
2012,8,03457,234562,36333
2013,8,03457,240717,38259
2014,8,03457,241470,35855
2015,8,03457,239713,36687
2016,8,03457,258369,41153
2017,8,03457,257254,40997
2018,8,03457,267721,47383
2009,8,03458,29888,13458
2010,8,03458,30649,13990
2011,8,03458,31000,12431
2012,8,03458,25594,11039
2013,8,03458,31479,15507
2014,8,03458,30191,13550
2015,8,03458,34595,16046
2016,8,03458,37614,19244
2017,8,03458,38853,19153
2018,8,03458,41425,20471
2009,8,03459,167083,36827
2010,8,03459,191178,43661
2011,8,03459,177914,38685
2012,8,03459,178673,40299
2013,8,03459,175150,42673
2014,8,03459,188387,40538
2015,8,03459,179305,42319
2016,8,03459,171458,44544
2017,8,03459,179428,45664
2018,8,03459,194081,51906
2009,8,03460,27084,11560
2010,8,03460,35203,12585
2011,8,03460,35343,12219
2012,8,03460,34610,13600
2013,8,03460,33243,13373
2014,8,03460,33675,12034
2015,8,03460,37070,14226
2016,8,03460,36694,14597
2017,8,03460,40460,16002
2018,8,03460,40923,16006
2009,8,03461,97492,19109
2010,8,03461,107039,20111
2011,8,03461,93560,18738
2012,8,03461,103116,21241
2013,8,03461,107614,22216
2014,8,03461,117465,23764
2015,8,03461,122463,25599
2016,8,03461,118030,23904
2017,8,03461,105862,22156
2018,8,03461,109710,23936
2009,8,03462,450521,68218
2010,8,03462,463591,68450
2011,8,03462,462995,65781
2012,8,03462,456126,71230
2013,8,03462,468147,77514
2014,8,03462,468528,71861
2015,8,03462,468388,78466
2016,8,03462,460317,74012
2017,8,03462,455789,71948
2018,8,03462,466931,74857
2009,12,03101,35732,20926
2010,12,03101,36994,21139
2011,12,03101,35187,21570
2012,12,03101,38670,22960
2013,12,03101,41844,24311
2014,12,03101,44615,26556
2015,12,03101,45174,27376
2016,12,03101,49637,30086
2017,12,03101,57546,35347
2018,12,03101,,
2009,12,03102,10657,3314
2010,12,03102,9398,3149
2011,12,03102,9456,3211
2012,12,03102,12716,3555
2013,12,03102,9464,3464
2014,12,03102,11231,3561
2015,12,03102,10384,3554
2016,12,03102,11455,3702
2017,12,03102,10274,3700
2018,12,03102,,
2009,12,03103,30554,15461
2010,12,03103,30601,15615
2011,12,03103,35070,16435
2012,12,03103,32209,14136
2013,12,03103,30676,16692
2014,12,03103,36065,21596
2015,12,03103,38644,22477
2016,12,03103,37292,22620
2017,12,03103,42213,22923
2018,12,03103,,
2009,12,03151,20747,9810
2010,12,03151,22170,7667
2011,12,03151,25147,8780
2012,12,03151,26353,8961
2013,12,03151,26797,8993
2014,12,03151,28049,8439
2015,12,03151,26875,8857
2016,12,03151,20644,7689
2017,12,03151,21398,8484
2018,12,03151,,
2009,12,03153,168424,50911
2010,12,03153,166196,51994
2011,12,03153,165877,53087
2012,12,03153,178578,51932
2013,12,03153,175701,53233
2014,12,03153,175812,56023
2015,12,03153,184617,57940
2016,12,03153,171726,57084
